"","group","pseudotime_bin_num","features","value","Geno","new_group"
"139","Kbk.3m.DCF",24,"homeostatic3",2.56982746628491,"Kbk","Kbk.3m
(HPBCD)"
"140","Kbk.3m.DCF",24,"stage1_DAM1",1.65872678857583,"Kbk","Kbk.3m
(HPBCD)"
"141","Kbk.3m.DCF",24,"stage2_DAM2",0.314747789839507,"Kbk","Kbk.3m
(HPBCD)"
"142","Kbk.3m.DCF",25,"homeostatic3",3.02250338133462,"Kbk","Kbk.3m
(HPBCD)"
"143","Kbk.3m.DCF",25,"stage1_DAM1",1.71752747318882,"Kbk","Kbk.3m
(HPBCD)"
"144","Kbk.3m.DCF",25,"stage2_DAM2",0.574197087871579,"Kbk","Kbk.3m
(HPBCD)"
"145","Kbk.3m.DMSO_PEG",1,"homeostatic3",2.93947428732034,"Kbk","Kbk.3m
(PEG)"
"146","Kbk.3m.DMSO_PEG",1,"stage1_DAM1",1.63223327921644,"Kbk","Kbk.3m
(PEG)"
"147","Kbk.3m.DMSO_PEG",1,"stage2_DAM2",0.465957466651066,"Kbk","Kbk.3m
(PEG)"
"148","Kbk.3m.DMSO_PEG",2,"homeostatic3",2.97500305229744,"Kbk","Kbk.3m
(PEG)"
"149","Kbk.3m.DMSO_PEG",2,"stage1_DAM1",1.52022462462413,"Kbk","Kbk.3m
(PEG)"
"150","Kbk.3m.DMSO_PEG",2,"stage2_DAM2",0.593468375190355,"Kbk","Kbk.3m
(PEG)"
"151","Kbk.3m.DMSO_PEG",3,"homeostatic3",2.95999708572851,"Kbk","Kbk.3m
(PEG)"
"152","Kbk.3m.DMSO_PEG",3,"stage1_DAM1",1.57613845258886,"Kbk","Kbk.3m
(PEG)"
"153","Kbk.3m.DMSO_PEG",3,"stage2_DAM2",0.51588659072798,"Kbk","Kbk.3m
(PEG)"
"154","Kbk.3m.DMSO_PEG",4,"homeostatic3",2.97120321236666,"Kbk","Kbk.3m
(PEG)"
"155","Kbk.3m.DMSO_PEG",4,"stage1_DAM1",1.60473547938459,"Kbk","Kbk.3m
(PEG)"
"156","Kbk.3m.DMSO_PEG",4,"stage2_DAM2",0.536032852930957,"Kbk","Kbk.3m
(PEG)"
"157","Kbk.3m.DMSO_PEG",6,"homeostatic3",3.03686557002494,"Kbk","Kbk.3m
(PEG)"
"158","Kbk.3m.DMSO_PEG",6,"stage1_DAM1",1.49430481594537,"Kbk","Kbk.3m
(PEG)"
"159","Kbk.3m.DMSO_PEG",6,"stage2_DAM2",0.62623002418991,"Kbk","Kbk.3m
(PEG)"
"160","Kbk.3m.DMSO_PEG",7,"homeostatic3",2.85645790600869,"Kbk","Kbk.3m
(PEG)"
